slug,n_samples,hidden_size,dim_over_samples,mix,repeats,cka_biased,cka_biased_std,cka_unbiased,cka_unbiased_std,bias
gptneo,1357,768,0.5659543109801032,0.997,2,0.9961789453175306,5.33096412303642e-06,0.9940187394425235,1.5521286052668615e-05,0.002160205875007093
gptneo,1357,768,0.5659543109801032,1.0,2,1.0,0.0,1.0,0.0,0.0
opt125m,1370,768,0.5605839416058395,0.0,2,0.3592760040704255,0.0006486994025320151,0.00045294178258440705,0.0009682832077709515,0.35882306228784105
opt125m,1370,768,0.5605839416058395,0.3,2,0.4171517271176802,0.0007974307268153112,0.09024890321379093,0.000987496164975069,0.3269028239038893
opt125m,1370,768,0.5605839416058395,0.7,2,0.6735492658537239,0.00016297997520906433,0.4906319864440277,0.0005744613190182819,0.18291727940969615
opt125m,1370,768,0.5605839416058395,0.9,2,0.8780692921759524,0.0004575441401180135,0.8097290714643699,0.0007097281542345987,0.06834022071158252
opt125m,1370,768,0.5605839416058395,0.95,2,0.9375863097784798,4.958221496557063e-05,0.9026028398647034,5.20665389371055e-06,0.03498346991377643
opt125m,1370,768,0.5605839416058395,0.98,2,0.9746889353622852,1.3951459295236301e-05,0.9604810399737524,8.915578666357606e-06,0.014207895388532732
opt125m,1370,768,0.5605839416058395,0.99,2,0.9872848810334289,2.0265102453363352e-05,0.9801537593734464,3.0951043965753336e-05,0.007131121659982531
opt125m,1370,768,0.5605839416058395,0.997,2,0.9961686976147675,7.251257823943038e-06,0.9940245634629596,1.0008647623080192e-05,0.0021441341518078083
opt125m,1370,768,0.5605839416058395,1.0,2,1.0,0.0,1.0,0.0,0.0
smollm2135m,1313,576,0.43869002284843867,0.0,2,0.30490930039518005,7.837338039232718e-05,0.0006583003470453552,0.0007130617668178424,0.3042510000481347
smollm2135m,1313,576,0.43869002284843867,0.3,2,0.366683941133531,0.00015610968306305992,0.0888641268584873,0.00021600871464380207,0.27781981427504365
smollm2135m,1313,576,0.43869002284843867,0.7,2,0.6457050313383688,0.0005908983727097829,0.490290432741907,0.0011518810937724516,0.15541459859646178
smollm2135m,1313,576,0.43869002284843867,0.9,2,0.867866054628117,0.00014045572964353745,0.8098901306791686,0.0001440066667789762,0.05797592394894835
smollm2135m,1313,576,0.43869002284843867,0.95,2,0.9321730455467679,9.32018136018032e-05,0.9023735937052083,0.00013822512819053245,0.029799451841559632
smollm2135m,1313,576,0.43869002284843867,0.98,2,0.9725657383656916,2.2007748270931116e-05,0.9605368069734413,5.231486586226181e-05,0.012028931392250253
smollm2135m,1313,576,0.43869002284843867,0.99,2,0.9861269813718806,5.600795981743647e-06,0.9800340686286344,1.1274800802098442e-05,0.006092912743246193
smollm2135m,1313,576,0.43869002284843867,0.997,2,0.9958120291209137,5.669796858733819e-06,0.9939732250183274,1.0747975820684943e-05,0.0018388041025863
smollm2135m,1313,576,0.43869002284843867,1.0,2,0.9999999999999999,1.5700924586837752e-16,1.0,0.0,-1.1102230246251565e-16
pythia,1455,768,0.5278350515463918,0.0,2,0.3453444760023351,1.1330472480941861e-05,1.3964481734353502e-05,0.00024242164704831626,0.34533051152060074
pythia,1455,768,0.5278350515463918,0.3,2,0.4042599481762765,0.00017516330613079754,0.08996672856020635,0.00039823671749109193,0.31429321961607015
pythia,1455,768,0.5278350515463918,0.7,2,0.6661559406730093,0.00047918391169515985,0.4900356935737661,0.0006335740195086196,0.17612024709924323
pythia,1455,768,0.5278350515463918,0.9,2,0.8757690227618997,0.00011527017458014338,0.8102851139150482,0.0002402661265758961,0.06548390884685151
pythia,1455,768,0.5278350515463918,0.95,2,0.9361998805238674,0.0006894603296963173,0.9025291907151264,0.0011263240800858758,0.033670689808740994
pythia,1455,768,0.5278350515463918,0.98,2,0.9741206079746583,5.026609095943153e-05,0.960473723313419,9.084395754047146e-05,0.013646884661239311
