slug,label,seed,layer,depth_norm,relational,anisotropy_base,anisotropy_ft,ceiling,headroom_used,saturation_class
smollm2135m,SmolLM2-135M,42,7,0.23333333333333334,0.0055988495619591,0.5915630664690578,0.5906904043832902,0.8177465291476521,0.0068466809242160335,neither
smollm2135m,SmolLM2-135M,42,8,0.26666666666666666,0.005772281960797,0.6205180345791996,0.6214372525178258,0.7580447129029746,0.00761469852971037,neither
smollm2135m,SmolLM2-135M,42,9,0.3,0.0063902020493623,0.638701091790544,0.6400206853276983,0.7212782228817577,0.008859552176455872,neither
smollm2135m,SmolLM2-135M,42,10,0.3333333333333333,0.0071131611688631,0.6486807521965291,0.6493540034774177,0.7019652443260531,0.01013320990798105,neither
smollm2135m,SmolLM2-135M,42,11,0.36666666666666664,0.0076796617200741,0.6677612621591578,0.6688911081826427,0.6633476296581995,0.01157712996431625,neither
smollm2135m,SmolLM2-135M,42,12,0.4,0.0086078678608688,0.6447591572029531,0.6475644792387162,0.7076763635583309,0.012163565584678862,neither
smollm2135m,SmolLM2-135M,42,13,0.43333333333333335,0.0108237498048129,0.6152239876469137,0.6206862704412653,0.764089741911821,0.014165547855322475,neither
smollm2135m,SmolLM2-135M,42,14,0.4666666666666667,0.0158592203047714,0.6523546101083254,0.6666089457826214,0.6810364441090531,0.023286889331625683,neither
smollm2135m,SmolLM2-135M,42,15,0.5,0.0114045043480923,0.6508611801330625,0.6528534568603926,0.6962853630065448,0.016379066621259857,neither
smollm2135m,SmolLM2-135M,42,16,0.5333333333333333,0.012914702602739,0.6833047361094333,0.6923385595656824,0.6243567043248843,0.020684814487102597,neither
smollm2135m,SmolLM2-135M,42,17,0.5666666666666667,0.0108211114419266,0.7129147981707856,0.7087773741989702,0.5783078276302442,0.018711680743227554,neither
smollm2135m,SmolLM2-135M,42,18,0.6,0.0109909703896752,0.7016985267015469,0.6991240658973954,0.5991774074010578,0.018343432602622185,neither
smollm2135m,SmolLM2-135M,42,19,0.6333333333333333,0.0151869743828249,0.7014555125252053,0.6921177213732779,0.6064267661015168,0.025043377422893264,neither
smollm2135m,SmolLM2-135M,42,20,0.6666666666666666,0.0159613765520948,0.7381501917895013,0.7285712432575852,0.5332785649529136,0.02993065463545141,neither
smollm2135m,SmolLM2-135M,42,21,0.7,0.0146630563096591,0.7272112467073093,0.724114464914611,0.5486742883780797,0.026724518754112095,neither
smollm2135m,SmolLM2-135M,42,22,0.7333333333333333,0.0154412260120943,0.7283761073464715,0.7296952188087492,0.5419286738447792,0.02849309652236084,neither
smollm2135m,SmolLM2-135M,42,23,0.7666666666666667,0.0220765744174871,0.7281232236811634,0.7164055119115437,0.5554712644072929,0.03974386405216401,neither
smollm2135m,SmolLM2-135M,42,24,0.8,0.0272404315386717,0.7164657687693912,0.7018210641878448,0.581713167042764,0.04682794387679581,neither
smollm2135m,SmolLM2-135M,42,25,0.8333333333333334,0.0241970295161187,0.7599439972914804,0.7488873475555106,0.4911686551530091,0.049264197261490214,neither
smollm2135m,SmolLM2-135M,42,26,0.8666666666666667,0.0257972483051892,0.7786805756095949,0.7624756047368269,0.45884381965357823,0.05622228566719243,neither
smollm2135m,SmolLM2-135M,42,27,0.9,0.0284260756865183,0.7683105900814355,0.7503777663498284,0.481311643568736,0.05905960528141426,neither
