slug,label,hf_id,tier,n_blocks,layer,normalized_depth,anisotropy,saturated
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,1,0.03125,0.5033085852090122,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,2,0.0625,0.673750285725638,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,3,0.09375,0.6441698143692379,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,4,0.125,0.6553290336448027,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,5,0.15625,0.6488687683541388,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,6,0.1875,0.624133342434624,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,7,0.21875,0.6156625837492313,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,8,0.25,0.561913198564316,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,9,0.28125,0.6097632900281048,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,10,0.3125,0.6261526363894717,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,11,0.34375,0.631857999831403,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,12,0.375,0.6392423113789752,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,13,0.40625,0.6389762985701429,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,14,0.4375,0.6565617149665584,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,15,0.46875,0.6654442862553716,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,16,0.5,0.6693652692473271,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,17,0.53125,0.6989488524563208,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,18,0.5625,0.6841079248255454,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,19,0.59375,0.6955685786233634,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,20,0.625,0.7277413250575087,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,21,0.65625,0.7191698481389459,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,22,0.6875,0.740485542364962,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,23,0.71875,0.7462514888931462,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,24,0.75,0.7487703905145426,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,25,0.78125,0.7671205831463567,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,26,0.8125,0.7541896622825138,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,27,0.84375,0.7710087540033294,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,28,0.875,0.7829895777487523,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,29,0.90625,0.800787648522261,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,30,0.9375,0.8385011476015594,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,31,0.96875,0.8598483899762377,0
smollm2360m,SmolLM2-360M,HuggingFaceTB/SmolLM2-360M,B,32,32,1.0,0.8136674801076481,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,0,0.0,0.07602607922879212,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,1,0.041666666666666664,0.312235252619686,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,2,0.08333333333333333,0.44319229672808474,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,3,0.125,0.5488061237175852,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,4,0.16666666666666666,0.5571291447950085,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,5,0.20833333333333334,0.5734686758917236,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,6,0.25,0.5492408375679623,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,7,0.2916666666666667,0.527348249986614,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,8,0.3333333333333333,0.5411683587559527,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,9,0.375,0.5358844911314982,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,10,0.4166666666666667,0.5518026745367276,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,11,0.4583333333333333,0.5613931738314483,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,12,0.5,0.59427802729299,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,13,0.5416666666666666,0.5924779863166273,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,14,0.5833333333333334,0.6276112322997378,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,15,0.625,0.6061020803878027,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,16,0.6666666666666666,0.6208671600837727,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,17,0.7083333333333334,0.6710500153269364,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,18,0.75,0.7501788895290759,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,19,0.7916666666666666,0.7662712358052292,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,20,0.8333333333333334,0.7642661768417092,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,21,0.875,0.7737121539773679,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,22,0.9166666666666666,0.7815389539020899,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,23,0.9583333333333334,0.718215247060811,0
pythia410m,Pythia-410M,EleutherAI/pythia-410m,B,24,24,1.0,0.6360956337587046,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,0,0.0,0.08012708837481675,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,1,0.041666666666666664,0.16762406537558056,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,2,0.08333333333333333,0.22545851511511103,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,3,0.125,0.263311624276685,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,4,0.16666666666666666,0.30834254898876623,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,5,0.20833333333333334,0.3281184008232197,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,6,0.25,0.3627272365765132,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,7,0.2916666666666667,0.39080993154634436,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,8,0.3333333333333333,0.40543298146926465,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,9,0.375,0.4179231865238628,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,10,0.4166666666666667,0.45423525896871597,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,11,0.4583333333333333,0.45744601148110836,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,12,0.5,0.46384896360528505,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,13,0.5416666666666666,0.4750160511544233,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,14,0.5833333333333334,0.4840557942549609,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,15,0.625,0.5037444510031776,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,16,0.6666666666666666,0.5253156232276004,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,17,0.7083333333333334,0.5451629218893724,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,18,0.75,0.56697852566166,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,19,0.7916666666666666,0.5895170115294066,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,20,0.8333333333333334,0.6149987532015557,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,21,0.875,0.7073111119995844,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,22,0.9166666666666666,0.9271521575593311,0
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,23,0.9583333333333334,0.9576613662677319,1
bloom560m,BLOOM-560M,bigscience/bloom-560m,B,24,24,1.0,0.9950565693965823,1
