slug,label,metric,layer,depth_norm,n_seeds,diff_mean,diff_std,ci95_lo,ci95_hi,excludes_zero,diff_seed_42,diff_seed_43,diff_seed_44
gptneo,GPT-Neo-125M,cka_change,7,0.5833333333333334,3,-0.002249351278393615,0.002450240556944241,-0.008336086248758937,0.0038373836919717067,False,7.513057102981335e-05,-0.004808469751665045,-0.002014714654545613
gptneo,GPT-Neo-125M,cka_change,8,0.6666666666666666,3,-0.012287253900987541,0.008025841968219368,-0.03222455060278977,0.007650042800814683,False,-0.004255934393553429,-0.02030760709190582,-0.012298220217503375
gptneo,GPT-Neo-125M,cka_change,9,0.75,3,0.0027982288776365882,0.004178535626058676,-0.007581829050948044,0.01317828680622122,False,0.006746478065756567,-0.0015776984226472113,0.003225906989800409
gptneo,GPT-Neo-125M,cka_change,10,0.8333333333333334,3,0.006427564351765946,0.005157963107809957,-0.006385526320161702,0.019240655023693595,False,0.012035393216653256,0.0018861876929325838,0.005361112145711999
gptneo,GPT-Neo-125M,cka_change,11,0.9166666666666666,3,0.00040145563815071245,0.005397915027917665,-0.013007708647523394,0.01381061992382482,False,0.004416693513171754,-0.005734829579633227,0.00252250298091361
gptneo,GPT-Neo-125M,cka_change,12,1.0,3,-0.0016072995927887874,0.0035524786793936463,-0.010432145850459556,0.00721754666488198,False,-0.004185362148313776,-0.003081472951385389,0.0024449363213328024
pythia,Pythia-160M,relational,0,0.0,3,2.4615326000366642e-05,1.370429371579589e-05,-9.428026831944983e-06,5.865867883267827e-05,False,2.537118701869995e-05,3.792604669720001e-05,1.0548744285199967e-05
pythia,Pythia-160M,relational,1,0.08333333333333333,3,-0.0118985333539849,0.0014253141199901303,-0.015439209910542618,-0.008357856797427182,True,-0.010255211131055098,-0.012641840177998298,-0.0127985487529013
pythia,Pythia-160M,relational,2,0.16666666666666666,3,-0.0427742804928238,0.0035726184183959213,-0.051649156635654926,-0.033899404349992675,True,-0.03866191014891861,-0.04511314919699679,-0.044547782132555995
pythia,Pythia-160M,relational,3,0.25,3,-0.024793184493587302,0.004136611273105774,-0.035069096555960896,-0.014517272431213705,True,-0.022657262556588703,-0.0295611361288413,-0.0221611547953319
