slug,n_samples,hidden_size,dim_over_samples,mix,repeats,cka_biased,cka_biased_std,cka_unbiased,cka_unbiased_std,bias
gptneo,1357,768,0.5659543109801032,0.0,2,0.36158330928522775,0.0007757899397703867,0.0003467489809964915,0.0008710925814252053,0.36123656030423124
gptneo,1357,768,0.5659543109801032,0.3,2,0.41937098301353737,0.0006200129802059274,0.09095407226692645,0.0010113033416647749,0.32841691074661095
gptneo,1357,768,0.5659543109801032,0.7,2,0.6746944337013916,0.00031286483704414265,0.4907584596376554,0.0003803740894433286,0.18393597406373619
gptneo,1357,768,0.5659543109801032,0.9,2,0.8787804691183541,0.00013537016056270834,0.8103904587995399,0.000475524499747375,0.0683900103188142
gptneo,1357,768,0.5659543109801032,0.95,2,0.9377375450402468,0.00024027555669557297,0.9024931625966394,0.00041693428780393595,0.03524438244360739
gptneo,1357,768,0.5659543109801032,0.98,2,0.9747598028267788,2.1261374246285334e-05,0.9604863263055412,5.51000149217395e-05,0.01427347652123756
gptneo,1357,768,0.5659543109801032,0.99,2,0.9872838532376645,7.330283844829504e-06,0.9800840061960239,1.6408873922364477e-05,0.007199847041640672
gptneo,1357,768,0.5659543109801032,0.997,2,0.9961756412766687,9.205872509784185e-06,0.994011665055331,2.181445854346502e-05,0.0021639762213376823
gptneo,1357,768,0.5659543109801032,1.0,2,1.0,0.0,1.0,0.0,0.0
opt125m,1369,768,0.5609934258582907,0.0,2,0.35929931434244033,0.001347499051134095,0.00038875585230735307,0.0019217583629486485,0.358910558490133
opt125m,1369,768,0.5609934258582907,0.3,2,0.4166601663570836,0.00040860155960027175,0.08938079250483744,0.001248668224564323,0.32727937385224615
opt125m,1369,768,0.5609934258582907,0.7,2,0.6733237387521982,0.00016364508617185857,0.4899884548115476,0.0005166006660839641,0.18333528394065057
opt125m,1369,768,0.5609934258582907,0.9,2,0.8779741211816032,0.0003891628130745818,0.8095511652972911,0.0007502313016472335,0.06842295588431213
opt125m,1369,768,0.5609934258582907,0.95,2,0.9375902836704242,0.00013066949449924286,0.9025960485236825,0.0002754338738968523,0.034994235146741715
opt125m,1369,768,0.5609934258582907,0.98,2,0.9746743097533866,5.865760915264238e-06,0.9604516693565511,8.492893021002746e-07,0.014222640396835518
opt125m,1369,768,0.5609934258582907,0.99,2,0.9872631096342617,5.498359082814976e-05,0.9801113091626756,9.070978871009657e-05,0.007151800471586034
opt125m,1369,768,0.5609934258582907,0.997,2,0.9961654538912657,1.7572753505329187e-05,0.9940164016333459,2.9302438455800548e-05,0.0021490522579197258
opt125m,1369,768,0.5609934258582907,1.0,2,0.9999999999999999,1.5700924586837752e-16,1.0,0.0,-1.1102230246251565e-16
smollm2135m,1313,576,0.43869002284843867,0.0,2,0.30499603610133863,0.0004198962121812929,0.0005371201396652502,0.0010187114824992008,0.3044589159616734
smollm2135m,1313,576,0.43869002284843867,0.3,2,0.36669663855403456,7.98548711465085e-05,0.08905659160879172,0.0001727759865793697,0.27764004694524286
smollm2135m,1313,576,0.43869002284843867,0.7,2,0.6453428033953206,0.0001513218736293115,0.4895378820198361,0.0002630432408172177,0.15580492137548446
smollm2135m,1313,576,0.43869002284843867,0.9,2,0.8677085151658903,0.0002472859060050477,0.809613026779586,0.0004663582453150494,0.058095488386304295
smollm2135m,1313,576,0.43869002284843867,0.95,2,0.9320311630883689,0.00028570403308085843,0.9021824993890506,0.00046189362663474226,0.029848663699318267
smollm2135m,1313,576,0.43869002284843867,0.98,2,0.9725067289800511,6.978249397821973e-06,0.960437163779732,1.3082019568928664e-05,0.012069565200319099
smollm2135m,1313,576,0.43869002284843867,0.99,2,0.9861353002089821,3.452288212364323e-05,0.9800500783469905,4.275989572910754e-05,0.006085221861991563
smollm2135m,1313,576,0.43869002284843867,0.997,2,0.9958223553351553,3.91835544264051e-06,0.993987305254171,7.747006318121584e-06,0.0018350500809842796
smollm2135m,1313,576,0.43869002284843867,1.0,2,1.0,0.0,1.0,0.0,0.0
pythia,1462,768,0.5253077975376197,0.0,2,0.34383208831209344,0.00028889155448075926,-0.0006243669276578869,0.00022079795737555745,0.3444564552397513
pythia,1462,768,0.5253077975376197,0.3,2,0.40283940802539253,0.00024173381115106973,0.08905068979939074,0.0003836625502523821,0.3137887182260018
pythia,1462,768,0.5253077975376197,0.7,2,0.6653300162211585,1.6828084794999956e-05,0.48957207665546576,5.029715696578904e-05,0.17575793956569274
pythia,1462,768,0.5253077975376197,0.9,2,0.8755314094857034,0.0001698716317956866,0.8102203238779812,0.00026864837628008366,0.06531108560772225
pythia,1462,768,0.5253077975376197,0.95,2,0.9359971465881121,0.0004890706635522111,0.9023693059476893,0.0008226463306966989,0.03362784064042279
pythia,1462,768,0.5253077975376197,0.98,2,0.9740857838067821,4.609594479166349e-05,0.9604862242598764,7.954113683059461e-05,0.013599559546905726
pythia,1462,768,0.5253077975376197,0.99,2,0.9869791745445291,4.342704012194223e-05,0.9801430687098391,6.925493870433269e-05,0.006836105834689965
pythia,1462,768,0.5253077975376197,0.997,2,0.9960730428161652,4.593925745368743e-06,0.9940106822965562,4.611062304170866e-06,0.0020623605196089523
pythia,1462,768,0.5253077975376197,1.0,2,1.0,0.0,1.0,0.0,0.0
opt350m,1380,1024,0.7420289855072464,0.0,2,0.427067829749153,0.0002851179522089835,0.001767718820354225,0.0010858405367414011,0.4253001109287988
opt350m,1380,1024,0.7420289855072464,0.3,2,0.47775031015373104,0.0005641574707862774,0.09074643680410541,0.0007099030641236553,0.3870038733496256
