slug,label,seed,layer,depth_norm,relational,anisotropy_base,anisotropy_ft,ceiling,headroom_used,saturation_class
smollm2360m,SmolLM2-360M,42,15,0.46875,0.0118105801898749,0.6554987840351505,0.6515708505720187,0.6929303653928308,0.01704439692605957,neither
smollm2360m,SmolLM2-360M,42,16,0.5,0.0135398733717883,0.6606049840791804,0.6538528307857863,0.6855421851350332,0.019750605674428795,neither
smollm2360m,SmolLM2-360M,42,17,0.53125,0.0193799938483828,0.6903731797997027,0.6735551523690625,0.6360716678312347,0.030468255117322384,neither
smollm2360m,SmolLM2-360M,42,18,0.5625,0.0233545691409793,0.6755822180418992,0.6544089716355933,0.6700088103225076,0.0348571075203289,neither
smollm2360m,SmolLM2-360M,42,19,0.59375,0.0235997001449698,0.6878285219605577,0.6663790552699024,0.6457924227695401,0.03654378607255923,neither
smollm2360m,SmolLM2-360M,42,20,0.625,0.0156065955576906,0.7194792745248402,0.7078759499019787,0.5726447755731812,0.027253536962891848,neither
smollm2360m,SmolLM2-360M,42,21,0.65625,0.0186454597342305,0.7110132555665793,0.6963197063080815,0.5926670381253392,0.03146026104844268,neither
smollm2360m,SmolLM2-360M,42,22,0.6875,0.0254420473541256,0.7324890933963016,0.7091011226466571,0.5584097839570413,0.04556160741639668,neither
smollm2360m,SmolLM2-360M,42,23,0.71875,0.0187615857515626,0.740239077811861,0.7266282777494176,0.5331326444387213,0.03519121544566958,neither
smollm2360m,SmolLM2-360M,42,24,0.75,0.0236380921240003,0.7388599819590271,0.7207898222102275,0.5403501958307454,0.04374587500178216,neither
smollm2360m,SmolLM2-360M,42,25,0.78125,0.0229819840460746,0.7581857879973726,0.7417696398771484,0.500044572125479,0.04595987103387175,neither
smollm2360m,SmolLM2-360M,42,26,0.8125,0.029693504651752,0.7422830917745044,0.7183582072219071,0.5393587010035884,0.05505335242854355,neither
smollm2360m,SmolLM2-360M,42,27,0.84375,0.0264125631299155,0.757837289411236,0.7384478798671199,0.5037148307216441,0.05243554789140453,neither
smollm2360m,SmolLM2-360M,42,28,0.875,0.0335770499032699,0.7697102697287885,0.7413483892745776,0.4889413409966339,0.06867296153527967,neither
smollm2360m,SmolLM2-360M,42,29,0.90625,0.029116418306912,0.7886955353207278,0.7657130127299488,0.44559145194932326,0.06534330535187957,neither
smollm2360m,SmolLM2-360M,42,30,0.9375,0.0309141200084407,0.8220553883178987,0.7957929022525817,0.3821517094295196,0.08089488871995273,neither
smollm2360m,SmolLM2-360M,42,31,0.96875,0.0310899172634217,0.842472941420579,0.8149744000381066,0.3425526585413142,0.09075952700472777,neither
smollm2360m,SmolLM2-360M,42,32,1.0,0.1086171603464784,0.7775612526083282,0.6780751614959537,0.5443635858957181,0.19953054017703128,neither
smollm2360m,SmolLM2-360M,43,0,0.0,0.0005451178531773,0.0786095466813464,0.0783011354193459,1.8430893178993077,0.0002957631232970344,neither
smollm2360m,SmolLM2-360M,43,1,0.03125,0.0079538905875331,0.496804099463939,0.4888729013577378,1.0143229991783234,0.007841575705151456,neither
smollm2360m,SmolLM2-360M,43,2,0.0625,0.0062105715053426,0.668584591897055,0.662417145944777,0.668998262158168,0.009283389594028966,neither
smollm2360m,SmolLM2-360M,43,3,0.09375,0.0030881632841949,0.6393144542516496,0.6370299614798658,0.7236555842684846,0.0042674489789457015,neither
smollm2360m,SmolLM2-360M,43,4,0.125,0.0031443861210716,0.6517766486574492,0.6531553914215542,0.6950679599209966,0.0045238542162539044,neither
smollm2360m,SmolLM2-360M,43,5,0.15625,0.003425179327734,0.6477918512336952,0.6474489444493366,0.704759204316968,0.004860070371203713,neither
smollm2360m,SmolLM2-360M,43,6,0.1875,0.0047110018874196,0.6197192196610599,0.6171589295791873,0.7631218507597528,0.006173328522475665,neither
smollm2360m,SmolLM2-360M,43,7,0.21875,0.0073490001179216,0.60872749447594,0.6022160833484653,0.7890564221755947,0.009313656047128872,neither
smollm2360m,SmolLM2-360M,43,8,0.25,0.0063771591045641,0.5590760621775468,0.5566710294358569,0.8842529083865963,0.007211917590635731,neither
smollm2360m,SmolLM2-360M,43,9,0.28125,0.0076384420258645,0.6047332353700177,0.6036518496659797,0.7916149149640026,0.009649189121470565,neither
smollm2360m,SmolLM2-360M,43,10,0.3125,0.0072337372204856,0.6218388887606923,0.6212784060558907,0.756882705183417,0.009557276406167364,neither
smollm2360m,SmolLM2-360M,43,11,0.34375,0.0100781824042357,0.6245281407892384,0.6163767322074934,0.7590951270032683,0.013276573706937139,neither
smollm2360m,SmolLM2-360M,43,12,0.375,0.0092983155420466,0.6311080938426249,0.6245044877549026,0.7443874184024724,0.012491231463854786,neither
smollm2360m,SmolLM2-360M,43,13,0.40625,0.0077411990620849,0.6309259120758504,0.6286241780518396,0.7404499098723101,0.010454723484833516,neither
smollm2360m,SmolLM2-360M,43,14,0.4375,0.008504400805586,0.6469863030952645,0.646677778258762,0.7063359186459734,0.012040164716369942,neither
smollm2360m,SmolLM2-360M,43,15,0.46875,0.0092872085777253,0.6568243008230386,0.6547951559604492,0.6883805432165122,0.013491387386299571,neither
smollm2360m,SmolLM2-360M,43,16,0.5,0.009871339111196,0.6622233916863434,0.6612372145051679,0.6765393938084887,0.014590930257034417,neither
smollm2360m,SmolLM2-360M,43,17,0.53125,0.01314402801043,0.6915393864526754,0.6815727808292851,0.6268878327180396,0.0209671129736887,neither
